,Approved Amount,Institution,Location Tag,postalcode,canton
175,8378,Gymnase de Bellerive,,1012,VD
176,65300,Gymnase du Bugnon,,None,None
177,220279,Gymnasien Kirchenfeld,,None,None
178,54509,Historische und Antiquarische Gesellschaft zu Basel,,None,None
179,17360,Historischer Verein des Kantons Schwyz Amt für Kulturpflege,,None,None
180,2150,Historisches Lexikon der Schweiz,,None,None
181,394162,Historisches Museum,,1003,VD
182,14797050,Hochalpine Forschungsstationen Jungfraujoch & Gornergrat Universität Bern,,"1202 Geneva, Switzerland",None
183,46100,Holbeingymnasium,,None,None
184,360000,Hôpital de Zone de Morges,,None,None
185,1226707,Institut Suisse prophylaxie alcoolisme,,None,None
186,769727,Institut d'Histologie et d'Embryologie,,6900,TI
187,567981,Institut d'éthique sociale de la Fédération des Eglises protestantes de la Suisse,,None,None
188,381058,Institut d'études médiévales Université de Fribourg,,None,None
189,851489,Institut de Microbiologie Université de Lausanne,,6002,LU
190,263597,Institut de Zoologie Faculté des Sciences Université de Neuchâtel,,8006,ZH
191,7000,Institut de recherches économiques Université de Neuchâtel,,1950,VS
192,378932,Institut für Bildungsevaluation Assoziiertes Inst. der Universität Zürich,,None,None
193,50000,Institut für Geophysik ETH Zürich,,None,None
194,248610,Institut für Pflegeforschung SBK,,None,None
195,83918,Institut für Strahlenhygiene BfS,,None,None
196,2864180,Institut für Viruskrankheiten und Immunprophylaxe,,6500,TI
197,68244,Institut für chirurgische Technologien und Biomechanik (ISTB) Universität Bern,,None,None
198,128743,Institut suisse de la santé publique,,"Geneva, Switzerland",None
199,426369,Internat. Environmental Law Research Centre Internat. Environment House,,"Geneva, Switzerland",None
200,10000,International Society of Electrochemistry,,None,None
201,96839,Ispettorato forestale cantonale,,None,None
202,40000,Istituto Batteriosierologico Cantonale,,"1014 Lausanne Adm Cant., Switzerland",None
203,156555,J.-v.-Müller-Kuratorium,,None,None
204,2568156,Jacob Burckhardt-Stiftung,,None,None
205,138012,"Justiz-, Gemeinde- und Kirchendirektion",,None,None
206,800000,Justizdirektion Nidwalden,,None,None
207,371641,"Kanton. Aufsichtsstelle Datenschutz Justiz-, Polizei- und Militärdirektion",,None,None
208,3429745,Kantonale Denkmalpflege,,None,None
209,280000,Kantonale Denkmalpflege Zug,,None,None
210,656715,Kantonale Fachstelle für Archäologie Staatsarchiv des Kantons Nidwalden,,None,None
211,119000,Kantonale Planungsgruppe,,None,None
212,16280,Kantonsarchäologie,,None,None
213,836915,Kantonsarchäologie Aargau,,None,None
214,257139,Kantonsarchäologie Basel-Landschaft,,None,None
215,446758,Kantonsarchäologie Schaffhausen,,None,None
216,250776,Kantonsarchäologie St. Gallen,,None,None
217,1595886,Kantonsbibliothek Vadiana,,None,None
218,422794,Kantonsschule Abt. Biologie,,None,None
219,100000,Kantonsschule Appenzell A.Rh.,,None,None
220,62000,Kantonsschule Baden,,None,None
221,474499,Kantonsschule Enge,,None,None
222,215892,Kantonsschule Freudenberg,,None,None
223,135000,Kantonsschule Riesbach,,None,None
224,76202,Kantonsschule Rychenberg,,None,None
225,313534,Kantonsschule Sargans,,None,None
226,78219,Kantonsschule Schlossfeld,,None,None
227,36948,Kantonsschule Stadelhofen,,None,None
228,93200,Kantonsschule Zug,,None,None
229,90000,Kantonsschule Zürcher Oberland Lehrer- und Lehrerinnenzimmer,,None,None
230,3000,Kantonsschule am Burggraben Rektorat,,None,None
231,245784,Karl Barth-Archiv,,None,None
232,616089,Karl-Jaspers-Stiftung,,None,None
233,132616,Kommision der Diplomatischen Dokumente der Schweiz SAGW,,None,None
234,122171,Kommission des Phonogrammarchivs Universität Zürich,,None,None
235,721284,Kommission für das Corpus Vasorum Antiquorum Antikenmuseum,,None,None
236,79732,Kommission für das Corpus philosophorum medii aevi der SGG,,None,None
237,275800,Kommission für das Mittellateinische Wörterbuch der SAGW,,None,None
238,300000,Kommission für die Schweiz. Kunst- und Kulturdatenbank der SAGW,,None,None
239,174862,Kommission für klassische und orientalische Archäologie Archäologisches Seminar,,None,None
240,183348,Kommission zur Herausgabe der Basler Rektoratsmatrikel,,None,None
241,8600,Kompetenzzentrum für Gender Studies (KGS) Koordinationsstelle,,None,None
242,829440,Konkordat der Schweizerischen Krankenkassen,,None,None
243,45000,Kreisforstamt 18,,None,None
244,472279,Kunstmuseum,,None,None
245,5245,Kunstmuseum Bern,,None,None
246,322572,Kuratorium Carl J. Burckhardt,,None,None
247,146853,Kuratorium Musikinstrumente der Schweiz,,None,None
248,530000,Kuratorium Schwyzer Orts- und Flurnamenbuch,,None,None
249,676596,Kuratorium Urner Namenbuch,,None,None
250,13078375,Kuratorium der Helvetia Sacra c/o Staatsarchiv Basel,,None,None
251,79431,Kuratorium für das Corpus der römischen Meilensteine,,None,None
252,213768,Laboratoire ACEPSA,,None,None
253,101410,Laboratoire d'Hygiène industrielle,,None,None
254,1576409,Laboratoire de recherche et ateliers de restauration des Musées d'art et d'histoire,,None,None
255,9637,Laboratorio di Storia delle Alpi (LabiSAlp) Accademia di architettura Università della Svizzera italiana,,None,None
256,400388,Laténium Parc et musée d'archéologie de Neuchâtel,,None,None
257,1232890,Lia Rumantscha,,None,None
258,313800,Liceo Cantonale,,None,None
259,288800,Liceo Cantonale 1,,None,None
260,100000,Liceo Cantonale Locarno,,None,None
261,68500,Liceo classico-scientifico,,None,None
262,281059,Liceo di Lugano 2,,None,None
263,56000,Liceo economico-sociale,,None,None
264,281136,Literargymnasium Kantonsschule Rämibühl Zürich,,None,None
265,354243,Mathematisch-naturwissensch. Gymnasium Kantonsschule Rämibühl Zürich,,None,None
266,189864,Mediplant Swiss Research Centre on Medicinal and Aromatic Plants,,None,None
267,80932,Meinrad Lienert-Stiftung,,None,None
268,592736,MeteoSuisse,,None,None
269,89755,Mittelschul- und Berufsbildungsamt Amtsleitung,,None,None
270,165500,Monumenti Storici Dipartimento dell'ambiente Ufficio Cantonale,,None,None
271,60000,Monuments historiques et archéologie du canton de Vaud,,None,None
272,52295,Museo  Cantonale di storia naturale,,None,None
273,284784,Museo di Valmaggia,,None,None
274,13000,Museum Tinguely,,None,None
275,514474,Museum der Kulturen,,None,None
276,241360,Museum des Kantons Thurgau,,None,None
277,64036,Museum für Kunst und Geschichte,,None,None
278,175919,Museum zu Allerheiligen,,None,None
279,1400000,Musikwissenschaftliches Institut Universität Zürich,,None,None
280,158223,Musée Forel,,None,None
281,17280,Musée Historique de Lausanne,,None,None
282,463774,Musée International d'Horlogerie,,None,None
283,271172.8,Musée cantonal d'archéologie et d'histoire,,None,None
284,15361,Musée d'art et d'histoire de Fribourg,,None,None
285,97825,Musée d'ethnographie de Genève,,None,None
286,80000,Musée de zoologie Palais de Rumine,,None,None
287,2384542,Musées d'art et d'histoire de Genève,,None,None
288,3529655,Muséum d'Histoire Naturelle,,None,None
289,605733,Muséum d'histoire naturelle,,None,None
290,4000,Nano-Cluster Bodensee,,None,None
291,261793,Natur-Museum Luzern,,None,None
292,508513,Naturforschende Gesellschaft Basel Naturhistorisches Museum,,None,None
293,1377877,Naturhistorisches Museum Basel,,None,None
294,317697,Naturhistorisches Museum Entomologie,,None,None
295,156189,Naturmuseum Winterthur,,None,None
296,101635,Numerische Vorhersagen Analyse und Prognose - Zürich MeteoSchweiz,,None,None
297,199850,Oberforstamt des Kantons Zürich Abteilung Wald,,None,None
298,33933,Obergericht Zürich,,None,None
299,1237757,Observatoire Cantonal de Neuchâtel,,None,None
300,239455,Office des recherches archéologiques,,None,None
301,300000,Office des écoles en santé (ODES) Département de la Formation et de la Jeunesse (DFJ),,None,None
302,303741,Office du patrimoine historique Section d'archéologie,,None,None
303,15000,Office féderal de la justice,,None,None
304,10000,Office fédéral de la statistique,,None,None
305,422445,Organizzazione sociopsichiatrica cantonale,,None,None
306,574422,Osservatorio Ticinese di SMA,,None,None
307,1267376,Otto Spiess Stiftung,,None,None
308,244620,Paul Sacher Stiftung Archiv und Forschungszentrum für die Musik des 20. und 21. Jahrhunderts,,None,None
309,202874,Pestalozzianum,,None,None
310,270166,Primarlehrerseminar Irchel,,None,None
311,74050,Pro Helvetia - Schweizer Kulturstiftung,,None,None
312,559454,Präsident der Schweizerischen Stiftung für das Stockalperschloss,,None,None
313,558304,"Radar, Satellite and Nowcasting Division Meteo Svizzera",,None,None
314,42667,Rechtsabteilung EVED Bundeshaus Nord,,None,None
315,4519353,Rechtswissenschaftliches Institut Universität Zürich,,None,None
316,12850991.65,Redaktion des Schweizerdeutschen Wörterbuchs,,None,None
317,408128,Rätisches Museum,,None,None
318,1745980,Römerstadt Augusta Raurica,,None,None
319,2339103,SAMW Schweizerischen Akademie der Medizinischen Wissenschaften,,None,None
320,2663951,SIDOS,,None,None
321,119200,SVIL Schweizerische Vereinigung Industrie und Landwirtschaft,,None,None
322,757082,Schweiz. Akademie der med. Wissen- schaften /Pathophysiolog. Institut,,None,None
323,206306,Schweiz. Arbeitsguppe für kardiale Rehabilitation der Schweiz. Gesell- schaft für Kardiologie,,None,None
324,276654.65,Schweiz. Fachstelle für behindertengerechtes Bauen,,None,None
325,23900,Schweiz. Gesellschaft für Ur- und Frühgeschichte,,None,None
326,754238,Schweiz. Gesellschaft für praktische Sozialforschung,,None,None
327,38000,Schweiz. Koordinationsstelle für Bildungsforschung (SKBF),,None,None
328,53500,Schweiz. Osteuropabibliothek,,None,None
329,1637755,Schweiz. Stiftung Stockalperschloss,,None,None
330,148542,Schweiz. Stiftung für die Photographie Kunsthaus,,None,None
331,573027,Schweiz. Thesauruskommission,,None,None
332,5320,Schweizer Jugend Forscht,,None,None
333,6894603,Schweizerische Akademie der Medizinischen Wissenschaften,,None,None
334,48080,Schweizerische Arbeitsgruppe für Aerobiologie,,None,None
335,10000,Schweizerische Arbeitsgruppe für Kriminologie,,None,None
336,8452114,Schweizerische Bauernhausforschung,,None,None
337,72180,Schweizerische Gesellschaft für Geschichte Generalsekretariat,,None,None
338,321200,Schweizerische Gesellschaft für Theaterkultur,,None,None
339,2657910,Schweizerische Gesellschaft für Volkskunde,,None,None
340,100125,"Schweizerische Kommission ""Mittellateinisches Wörterbuch""",,None,None
341,146500,Schweizerische Kommission für Mole- kularbiologie/ Prof. Angela Krämer Biologie Cellulaire/ Science III,,None,None
342,197587,Schweizerische Konferenz der kantonalen Erziehungsdirektoren EDK,,None,None
343,281168,Schweizerische Musikforschende Gesellschaft,,None,None
344,48720,Schweizerische Nationalbibliothek,,None,None
345,4234681,Schweizerische Rechtsquellen c/o Universität Zürich / RWI,,None,None
346,5429719,Schweizerische Vogelwarte,,None,None
347,260000,Schweizerischer Juristenverein,,None,None
348,1275744,Schweizerisches Bundesarchiv,,None,None
349,522139,Schweizerisches Bundesgericht,,None,None
350,430031,Schweizerisches Institut für Volkskunde (SIV),,None,None
351,927704,Schweizerisches Literaturarchiv,,None,None
352,395198,Schweizerisches Nationalmuseum Landesmuseum Zürich,,None,None
353,154725,Schweizerisches Sozialarchiv Abt. Periodika,,None,None
354,174200,Scuola cantonale supperiore di commercio,,None,None
355,13000,Sekretariat des Schweizerischen Apothekervereins,,None,None
356,442280,Service archéologique Canton de Fribourg,,None,None
357,276938,Service de la protection des monuments et sites,,None,None
358,528446,Service de la recherche en éducation (SRED) Bibliothèque,,None,None
359,1423409,Services communs aux groupes du Département de Biologie moléculaire,,None,None
360,572522,Servizio di documentazione Organizzazione sociopsichiatrica cantonale (OSC),,None,None
361,160000,Sezione dell'azione sociale,,None,None
362,136928,Sezione sanitaria Dipartimento delle opere sociali,,None,None
363,106204,Site et Musée romains Fondation Pro Aventico Casa postale 237,,None,None
364,15000,Site et Musée romains d'Avenches,,None,None
365,7929316,Societa Retorumantscha Dicziunari Rumantsch Grischun,,None,None
366,230076,Société d'études töpffériennes,,None,None
367,275523,Société générale suisse d'histoire,,None,None
368,292236,Sottas formative works,,None,None
369,383412,Sozialmedizinische Beratungsstelle für Jugendliche Integrative Psych. Winterthur,,None,None
370,118750,Sozialversicherungsgericht des Kantons Zürich,,None,None
371,37000,Sportwissenschaftliches Institut Bundesamt für Sport Forschungsinstitut,,None,None
372,3377898,Sprachatlas der deutschen Schweiz,,None,None
373,455364,Staatsarchiv,,None,None
374,304751,Staatsarchiv Basel Stadt,,None,None
375,911652,Staatsarchiv Fribourg,,None,None
376,1225000,Staatsarchiv Graubünden,,None,None
377,34300,"Staatsarchiv Kanton Aargau Departement Bildung, Kultur und Sport",,None,None
378,105000,Staatsarchiv Uri,,None,None
379,498952,Staatsarchiv des Kantons Bern,,None,None
380,147644,Staatsarchiv des Kantons Luzern,,None,None
381,27000,Staatssekretariat für Wirtschaft (SECO),,None,None
382,1183601,Stadtarchiv Vadiana,,None,None
383,318116,Stadtbibliothek Schaffhausen,,None,None
384,380000,Stadtärztlicher Dienst,,None,None
385,8694688,Stift. Pro Kloster St. Johann in Müstair,,None,None
386,42500,Stiftsarchiv,,None,None
387,1468124,Stiftsbibliothek St. Gallen,,None,None
388,120836,Stiftschule Einsiedeln Rektorat,,None,None
389,244148,"Stiftung ""Pro Innerrhoden""",,None,None
390,558751,Stiftung Bibliothek Werner Oechslin,,None,None
391,29010,Stiftung FSMA-HR. Sennhauser,,None,None
392,256000,Stiftung Kinderdorf Pestalozzi,,None,None
393,920775,Stiftung Landschaftsschutz Schweiz,,None,None
394,157476,Stiftung Ziegelei-Museum,,None,None
395,3700,Stiftung Zürcher Kinder- und Jugendheime,,None,None
396,70000,Stiftung für Forschung in Spätantike und Mittelalter,,None,None
397,7500,Stiftung für Patientensicherheit,,None,None
398,1935131,Stiftung für eine Historisch-Kritische Gottfried Keller-Ausgabe,,None,None
399,62900,Stiftung für eine Kritische Robert Walser- Ausgabe Frau Dr. Barbara von Reibnitz,,None,None
400,104825,Strittmatter + Partner AG,,None,None
401,1144924,Sucht Schweiz,,None,None
402,133862,Sukkulentensammlung Zürich,,None,None
403,2899740,Swiss Clinical Trial Organisation (SCTO),,None,None
404,156855,TA-SWISS Zentrum für Technologiefolgenabschätzung,,None,None
405,261630,The Robots Podcast Association,,None,None
406,100000,Theologisches Seminar Bienenberg,,None,None
407,449835,Tk3 AG,,None,None
408,25000,Tribunal des Mineurs,,None,None
409,59306,Tribunal fédéral,,None,None
410,96560,Trimarca AG,,None,None
411,2828458,Tschudi-Kommission der AGGS Staatsarchiv Zürich,,None,None
412,25000,UNI: Selbsthilfegruppe der Prostitutierten Praha TS,,None,None
413,253972,Ufficio dei beni culturali,,None,None
414,250720,Ufficio geologico cantonale,,None,None
415,90000,Ufficio studi e ricerche del Dipartimento dell'istruzione e della cultura,,None,None
416,425000,Unite d'oncologie experimentale CHUV - Université de Lausanne,,None,None
417,265394,United Nations Research Institute for Social Development (UNRISD),,None,None
418,251880.84,Unité d'études et de statistiques de l'Hospice général,,None,None
419,3500,Verband der Schweizerischen Volkshochschulen,,None,None
420,500366,"Verein ""Schweizerische Juristische Datenbank""",,None,None
421,2448763,Verein Arbeitsstelle Schweiz des RISM,,None,None
422,2400,Verein Feministische Wissenschaft Schweiz,,None,None
423,9000,Verein NGL-SAA Neue Galerie Luzern - Swiss Academic Association,,None,None
424,12000,Verein politikinitiativen Zürich c/o PIN,,None,None
425,20000,Vereinigung Walliser Museen (VWM),,None,None
426,1500,ViaStoria - Zentrum für Verkehrsgeschichte Kulturwege Schweiz,,None,None
427,136047,Vindonissa Museum,,None,None
428,16230.73,Vitrocentre Romont,,None,None
429,330992,Volkswirtschaftliches Institut Abteilung Oekonometrie,,None,None
430,10000,WDA Forum,,None,None
431,8500,WDA Forum AG,,None,None
432,119094,WOHNSTADT Bau- und Verwaltungsgenossenschaft,,None,None
433,2080085,Wasser- und Energiewirtschaftsamt des Kantons Bern,,None,None
434,3000,Webster University,,None,None
435,117162,Wessenbergkommission,,None,None
436,875384,Wissenschaftliche Nationalpark- Kommission Institut de Zoologie,,None,None
437,251252,Wissenschaftliche Nationalpark- Kommission Institut für Waldbau,,None,None
438,25299,Wissensstadt Davos,,None,None
439,706485,Zentral- & Hochschulbibliothek,,None,None
440,874401,Zentralbibliothek Solothurn,,None,None
441,1445731,Zentralbibliothek Zürich,,None,None
442,182952,Zentrum für Sprachstörungen,,None,None
443,1235385,Zwingliverein Schweiz. Landesmuseum,,None,None
444,240000,Zürcher Handelskammer Börsengebäude,,None,None
445,6700,cfd - Migrationspolitik und Friedenspolitik,,None,None
446,38000,oikos foundation Institute for Economy and the Environment University of St.Gallen,,None,None
447,12000,swisstopo Bundesamt für Landestopographie,,None,None
448,14000,syndicom,,None,None
449,349500,École des Hautes Études Commerciales Université de Lausanne,,None,None
